id,title,type,description,human_readable_id,text_unit_ids,degree,frequency
GEN_ARB_1,1st Gen - Prototype,Generation,generation: 1; subtype: 原型药物; year_range: 1995; key_features: 首个ARB，AT1选择性较低，半衰期短(2h)，活性代谢物E3174(6-9h)，surmountable拮抗,GEN_ARB_1,,0,1
GEN_ARB_2,2nd Gen - Structural Diversification,Generation,generation: 2; subtype: 结构多样化; year_range: 1996-1998; key_features: 改善药代(PK/PD)，部分为非竞争性拮抗(insurmountable)，半衰期延长,GEN_ARB_2,,0,1
GEN_ARB_3,3rd Gen - High-Affinity Prodrugs,Generation,generation: 3; subtype: 高亲和前药; year_range: 2002-至今; key_features: 更高AT1亲和力(insurmountable)，前药设计提高口服生物利用度,GEN_ARB_3,,0,1
INT_BCB,BCB (溴甲基氰基联苯),Core Intermediate,chinese: 4'-溴甲基-2-氰基联苯; full_name: 4'-Bromomethyl-2-cyanobiphenyl; cas: 114772-53-1; role: 通用关键中间体; formula: C14H10BrN; mw: 272.14; desc: ARB类药物核心砌块，与咪唑/苯并咪唑缩合后经四氮唑化得联苯四氮唑母核; synthesis_from: 2-氰基-4'-甲基联苯 → NBS溴代 → BCB,INT_BCB,,0,1
INT_BPT,BPT (联苯四氮唑),Core Intermediate,chinese: 联苯四氮唑中间体; full_name: 5-(4'-Bromomethylbiphenyl-2-yl)-1H-tetrazole; cas: 133051-88-4; role: 四氮唑化中间体; formula: C14H11BrN4; mw: 315.17; desc: BCB经NaN3/ZnCl2环合→四氮唑，再与咪唑/苯并咪唑缩合构建ARB母核; synthesis_from: BCB + NaN3/ZnCl2 → [3+2]环加成 → BPT,INT_BPT,,0,1
INT_Trityl_BPT,Trityl-BPT,Core Intermediate,chinese: 三苯甲基保护联苯四氮唑; full_name: N-Trityl-5-(4'-bromomethylbiphenyl-2-yl)tetrazole; role: 选择性N2保护中间体; desc: BPT经TrCl保护四氮唑N2位，确保后续烷基化反应在N1位进行; synthesis_from: BPT + TrCl/Et3N → Trityl-BPT,INT_Trityl_BPT,,0,1
INT_Val_Biphenyl_Aldehyde,Valsartan Aldehyde Intermediate,Core Intermediate,"chinese: 缬沙坦醛中间体; full_name: N-[(2'-Cyano-[1,1'-biphenyl]-4-yl)methyl]-N-valeryl-L-valine; role: 缬沙坦关键中间体; desc: BCB与L-缬氨酸苄酯缩合→酰化→氢化脱苄→缬沙坦醛中间体",INT_Val_Biphenyl_Aldehyde,,0,1
INT_Benzimidazole_Core,Telmisartan Benzimidazole Core,Core Intermediate,chinese: 替米沙坦苯并咪唑母核; full_name: 2-n-Propyl-4-methyl-6-(1-methylbenzimidazol-2-yl)benzimidazole; formula: C19H18N4; mw: 302.37; role: 替米沙坦母核中间体; desc: 邻苯二胺衍生物缩合环化→苯并咪唑母核，再与BPT缩合得替米沙坦,INT_Benzimidazole_Core,,0,1
SCA_Trityl_Chloride,Trityl Chloride (TrCl),Side Chain / Reagent,"chinese: 三苯基氯甲烷; cas: 76-83-5; role: 四氮唑N2保护基; used_in: ['Candesartan Cilexetil', 'Olmesartan Medoxomil', 'Azilsartan Medoxomil']; desc: 选择性保护四氮唑N2位，确保N1烷基化区域选择性",SCA_Trityl_Chloride,,0,1
SCA_Medoxomil,Medoxomil Chloride,Side Chain / Reagent,"chinese: 美多酯氯; full_name: 4-Chloromethyl-5-methyl-1,3-dioxol-2-one; role: 前药酯化试剂; used_in: ['Olmesartan Medoxomil', 'Azilsartan Medoxomil']; desc: 与ARB羧酸成酯→前药形式，提高口服生物利用度",SCA_Medoxomil,,0,1
