id,title,type,description,human_readable_id,text_unit_ids,degree,frequency
GEN_1,1st Gen,Generation,generation: 1; year_range: 1964-1972; gram_positive: ★★★★★; gram_negative: ★★☆☆☆; beta_lactamase_stability: 低; key_features: 对G+菌强效（金葡菌、链球菌），对G-菌有限，不耐β-内酰胺酶,GEN_1,,0,1
GEN_2,2nd Gen,Generation,generation: 2; year_range: 1975-1983; gram_positive: ★★★★☆; gram_negative: ★★★☆☆; beta_lactamase_stability: 中; key_features: G+活性略降，G-谱拓宽（流感嗜血杆菌、卡他莫拉菌），部分覆盖厌氧菌,GEN_2,,0,1
GEN_3,3rd Gen,Generation,generation: 3; year_range: 1980-1992; gram_positive: ★★★☆☆; gram_negative: ★★★★★; beta_lactamase_stability: 高; key_features: G-菌谱大幅拓宽（肠杆菌科、铜绿假单胞菌），血脑屏障穿透好，ESBL部分耐药,GEN_3,,0,1
GEN_4,4th Gen,Generation,generation: 4; year_range: 1993-1994; gram_positive: ★★★★☆; gram_negative: ★★★★★; beta_lactamase_stability: 极高; key_features: 两性离子结构，快速穿透外膜，抗AmpC β-内酰胺酶，G+恢复接近2代,GEN_4,,0,1
GEN_5,5th Gen,Generation,generation: 5; year_range: 2010-至今; gram_positive: ★★★★★; gram_negative: ★★★★★; beta_lactamase_stability: 极高; key_features: 覆盖MRSA/VISA，抗MRSA头孢菌素，ceftaroline为前药,GEN_5,,0,1
INT_7-ACA,7-ACA,Core Intermediate,cas: 957-68-6; full_name: 7-Aminocephalosporanic Acid; pubchem_name: 7-aminocephalosporanic acid; role: 核心母核中间体; formula: C10H12N2O5S; mw: 272.28; smiles: CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)N)SC1)C(=O)O; desc: 头孢菌素C酶解/化学裂解产物，1-3代头孢核心中间体; synthesis_from: Cephalosporin C / Penicillin G sulfoxide,INT_7-ACA,,0,1
INT_7-ADCA,7-ADCA,Core Intermediate,cas: 22252-43-3; full_name: 7-Aminodeacetoxycephalosporanic Acid; pubchem_name: 7-aminodeacetoxycephalosporanic acid; role: 去乙酰氧基母核中间体; formula: C8H10N2O3S; mw: 214.24; smiles: CC1=C(N2[C@@H]([C@@H](C2=O)N)SC1)C(=O)O; desc: 7-ACA氢解脱乙酰氧基产物，头孢氨苄/头孢拉定关键中间体; synthesis_from: 7-ACA (hydrogenolysis),INT_7-ADCA,,0,1
INT_GCLE,GCLE,Core Intermediate,cas: 104146-10-3; full_name: p-Methoxybenzyl 7-phenylacetamido-3-chloromethylcephem-4-carboxylate; pubchem_name: GCLE cephalosporin intermediate; role: 3-氯甲基头孢烯中间体; formula: C24H23ClN2O5S; mw: 486.97; desc: 青霉素G扩环产物，3代头孢关键中间体（头孢克肟/头孢地尼等）; synthesis_from: Penicillin G → sulfoxide → ring expansion,INT_GCLE,,0,1
INT_7-ACCA,7-ACCA,Core Intermediate,cas: 53994-69-7; full_name: 7-Amino-3-chlorocephalosporanic Acid; pubchem_name: 7-amino-3-chlorocephalosporanic acid; role: 3-氯母核中间体; formula: C7H7ClN2O3S; mw: 234.66; desc: 青霉素工业盐经扩环重排+氯代得到，头孢克洛/头孢维星关键中间体; synthesis_from: 青霉素工业盐 → 亚砜酯 → 扩环 → C3氯代 → 脱侧链 → 7-ACCA,INT_7-ACCA,,0,1
INT_PenG,青霉素工业盐,Starting Material,cas: 61-33-6; full_name: Penicillin G Industrial Salt (青霉素工业盐); pubchem_name: penicillin g; role: 起始原料; desc: 发酵法生产，经扩环重排转化为头孢母核（7-ADCA/7-ACCA/GCLE）,INT_PenG,,0,1
INT_CephC,Cephalosporin C,Starting Material,cas: 61-24-5; full_name: Cephalosporin C; pubchem_name: cephalosporin C; role: 天然头孢发酵产物; desc: 顶头孢霉发酵产物，酶解得7-ACA,INT_CephC,,0,1
SCA_Phenylglycine,D-Phenylglycine,Side Chain Acid,"cas: 875-74-1; pubchem_name: D-phenylglycine; role: 侧链酸; used_in: ['Cephalexin', 'Cefadroxil', 'Cefaclor']; desc: Dane盐法/DCC缩合法引入",SCA_Phenylglycine,,0,1
SCA_DHPC,D-4-Hydroxyphenylglycine,Side Chain Acid,"cas: 22818-40-2; pubchem_name: D-4-hydroxyphenylglycine; role: 侧链酸; used_in: ['Cefadroxil', 'Cefprozil']; desc: 对羟基苯甘氨酸",SCA_DHPC,,0,1
SCA_Tetrazole,1H-Tetrazole-1-acetic Acid,Side Chain Acid,"cas: 21732-17-2; pubchem_name: 1H-tetrazole-1-acetic acid; role: 侧链酸; used_in: ['Cefazolin', 'Ceftezole']; desc: 四氮唑乙酸，1代/2代头孢侧链",SCA_Tetrazole,,0,1
SCA_Thiazole,2-Aminothiazole-4-acetic Acid,Side Chain Acid,"cas: 29676-71-9; pubchem_name: 2-aminothiazole-4-acetic acid; role: 侧链酸; used_in: ['Ceftriaxone', 'Cefotaxime', 'Ceftazidime', 'Cefepime']; desc: 氨噻肟酸前体，3代/4代头孢核心侧链",SCA_Thiazole,,0,1
SCA_ATMA,AE-Active Ester (ATMA衍生物),Side Chain Acid,"cas: 65872-41-5; full_name: 2-(2-Aminothiazol-4-yl)-2-methoxyiminoacetic Acid; pubchem_name: 2-(2-aminothiazol-4-yl)-2-methoxyiminoacetic acid; role: 侧链酸; used_in: ['Cefixime', 'Cefdinir', 'Cefpodoxime']; desc: 甲氧亚氨基氨噻肟酸（氨噻肟酸甲氧亚胺衍生物）",SCA_ATMA,,0,1
SCA_CAEM,CAEM (Cefazolin side chain),Side Chain Acid,full_name: 1H-Tetrazole-1-acetic Acid Active Ester; role: 侧链酸; used_in: ['Cefazolin'],SCA_CAEM,,0,1
SCA_Mandelic,Mandelic Acid,Side Chain Acid,cas: 611-71-2; pubchem_name: mandelic acid; role: 侧链酸; used_in: ['Cefamandole']; desc: 扁桃酸，2代头孢侧链,SCA_Mandelic,,0,1
DRUG_Cephalothin,Cephalothin,Drug,cas: 153-61-7; cid: 59087080; year: 1964; pubchem_name: cephalothin; formula: C16H16N2O6S2; mw: 396.44; smiles: CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O; chinese: 头孢噻吩,DRUG_Cephalothin,,0,1
DRUG_Cephaloridine,Cephaloridine,Drug,cas: 50-59-9; cid: 102678; year: 1964; pubchem_name: cephaloridine; formula: C19H17N3O4S2; mw: 415.48; chinese: 头孢噻啶,DRUG_Cephaloridine,,0,1
DRUG_Cephalexin,Cephalexin,Drug,cas: 15686-71-2; cid: 27447; year: 1967; pubchem_name: cephalexin; oral: True; formula: C16H17N3O4S; mw: 347.39; smiles: CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O; chinese: 头孢氨苄,DRUG_Cephalexin,,0,1
DRUG_Cefazolin,Cefazolin,Drug,cas: 25953-19-9; cid: 33255; year: 1971; pubchem_name: cefazolin; formula: C14H14N8O4S3; mw: 454.51; smiles: CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CN3C=NN=N3)SC1)C(=O)O; chinese: 头孢唑林,DRUG_Cefazolin,,0,1
DRUG_Cefadroxil,Cefadroxil,Drug,cas: 66592-87-8; cid: 47965; year: 1972; pubchem_name: cefadroxil; oral: True; formula: C16H17N3O5S; mw: 363.39; smiles: CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O; chinese: 头孢羟氨苄,DRUG_Cefadroxil,,0,1
DRUG_Cephradine,Cephradine,Drug,cas: 38821-53-3; cid: 38103; year: 1972; pubchem_name: cephradine; oral: True; formula: C16H19N3O4S; mw: 349.41; chinese: 头孢拉定,DRUG_Cephradine,,0,1
DRUG_Cefamandole,Cefamandole,Drug,cas: 34444-01-4; year: 1975; pubchem_name: cefamandole; formula: C18H18N6O5S2; mw: 462.50; chinese: 头孢孟多,DRUG_Cefamandole,,0,1
DRUG_Cefuroxime,Cefuroxime,Drug,cas: 55268-75-2; cid: 5361202; year: 1978; pubchem_name: cefuroxime; oral: True; formula: C16H16N4O8S; mw: 424.39; smiles: CO/N=C(\C(=O)NC1[C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)/C3=CC=CO3; chinese: 头孢呋辛,DRUG_Cefuroxime,,0,1
DRUG_Cefoxitin,Cefoxitin,Drug,cas: 35607-66-0; cid: 441199; year: 1978; pubchem_name: cefoxitin; formula: C16H17N3O7S2; mw: 427.45; chinese: 头孢西丁,DRUG_Cefoxitin,,0,1
DRUG_Cefaclor,Cefaclor,Drug,cas: 53994-73-3; cid: 51040; year: 1979; pubchem_name: cefaclor; oral: True; formula: C15H14ClN3O4S; mw: 367.81; smiles: C1C(=C(N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)Cl; chinese: 头孢克洛,DRUG_Cefaclor,,0,1
DRUG_Cefprozil,Cefprozil,Drug,cas: 121123-17-9; cid: 9887644; year: 1983; pubchem_name: cefprozil; oral: True; formula: C18H19N3O5S; mw: 389.43; chinese: 头孢丙烯,DRUG_Cefprozil,,0,1
DRUG_Cefovecin,Cefovecin,Drug,cas: 234096-34-1; cid: 9576837; year: 2006; pubchem_name: cefovecin; formula: C17H18N5NaO6S2; mw: 475.48; desc: 兽用第3代头孢(Convenia)，7-ACCA母核，长效注射剂（一次注射持续14天）; chinese: 头孢维星,DRUG_Cefovecin,,0,1
DRUG_Cefotaxime,Cefotaxime,Drug,cas: 63527-52-6; cid: 5742673; year: 1980; pubchem_name: cefotaxime; formula: C16H17N5O7S2; mw: 455.47; smiles: CO/N=C(\C(=O)NC1[C@@H]2N(C1=O)C(=C(CS2)COC(=O)C)C(=O)O)/C3=CSC(=N3)N; chinese: 头孢噻肟,DRUG_Cefotaxime,,0,1
DRUG_Ceftizoxime,Ceftizoxime,Drug,cas: 68401-82-1; cid: 6533629; year: 1980; pubchem_name: ceftizoxime; formula: C13H13N5O5S2; mw: 383.40; chinese: 头孢唑肟,DRUG_Ceftizoxime,,0,1
DRUG_Ceftriaxone,Ceftriaxone,Drug,cas: 73384-59-5; cid: 5479530; year: 1982; pubchem_name: ceftriaxone; formula: C18H18N8O7S3; mw: 554.58; smiles: CO/N=C(\C(=O)NC1[C@@H]2N(C1=O)C(=C(CS2)CSC3=NC(=O)C(=O)NN3C)C(=O)O)/C4=CSC(=N4)N; chinese: 头孢曲松,DRUG_Ceftriaxone,,0,1
DRUG_Ceftazidime,Ceftazidime,Drug,cas: 72558-82-8; cid: 5481173; year: 1983; pubchem_name: ceftazidime; formula: C22H22N6O7S2; mw: 546.58; smiles: CC(C)(C(=O)O)O/N=C(\C(=O)NC1[C@@H]2N(C1=O)C(=C(CS2)C[N+]3=CC=CC=C3)C(=O)[O-])/C4=CSC(=N4)N; chinese: 头孢他啶,DRUG_Ceftazidime,,0,1
DRUG_Cefoperazone,Cefoperazone,Drug,cas: 62893-20-3; cid: 44187; year: 1981; pubchem_name: cefoperazone; formula: C25H27N9O8S2; mw: 645.67; chinese: 头孢哌酮,DRUG_Cefoperazone,,0,1
DRUG_Cefixime,Cefixime,Drug,cas: 79350-37-1; cid: 54362; year: 1987; pubchem_name: cefixime; oral: True; formula: C16H15N5O7S2; mw: 453.45; smiles: C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O; chinese: 头孢克肟,DRUG_Cefixime,,0,1
DRUG_Cefpodoxime,Cefpodoxime Proxetil,Drug,cas: 87239-81-4; cid: 6526396; year: 1990; pubchem_name: cefpodoxime proxetil; oral: True; formula: C21H27N5O9S2; mw: 557.60; chinese: 头孢泊肟酯,DRUG_Cefpodoxime,,0,1
