source,target,id,description,weight,human_readable_id,text_unit_ids,combined_degree
KSM_Trifluoro_Benzene,DI_Ofloxacin_Core,REL_0000,relationship:—; conv:CYCLIZATION; desc:三氟硝基苯→还原→环合→氧氟沙星母核,1.0,REL_0000,,2
DI_Ofloxacin_Core,DI_Levofloxacin_Q_Acid,REL_0001,relationship:—; conv:CHIRAL_RESOLUTION; desc:氧氟沙星消旋体→手性拆分→左旋Q酸,1.0,REL_0001,,2
KSM_N_Methylpiperazine,API_Levofloxacin,REL_0002,relationship:~84%; conv:CONDENSATION; desc:Q酸+N-甲基哌嗪→芳香亲核取代→左氧氟沙星,1.0,REL_0002,,2
DI_Levofloxacin_Q_Acid,API_Levofloxacin,REL_0003,relationship:~84%; conv:CONDENSATION; desc:Q酸+N-甲基哌嗪→缩合→左氧氟沙星,1.0,REL_0003,,2
KSM_Trifluoro_Benzene,DI_Cyclopropyl_Acid,REL_0004,relationship:—; conv:CYCLIZATION; desc:三氟硝基苯→环丙胺引入→环合→环丙羧酸,1.0,REL_0004,,2
KSM_Piperazine,API_Ciprofloxacin,REL_0005,relationship:~84%; conv:CONDENSATION; desc:环丙羧酸+哌嗪→芳香亲核取代→环丙沙星,1.0,REL_0005,,2
DI_Cyclopropyl_Acid,API_Ciprofloxacin,REL_0006,relationship:~84%; conv:CONDENSATION; desc:环丙羧酸+哌嗪缩合→环丙沙星,1.0,REL_0006,,2
DI_Norfloxacin_Q_Acid,API_Norfloxacin,REL_0007,relationship:—; conv:CONDENSATION; desc:诺氟沙星羧酸+哌嗪→诺氟沙星,1.0,REL_0007,,2
KSM_Methoxy_Acrylate,DI_Moxifloxacin_Core,REL_0008,relationship:—; conv:CYCLIZATION; desc:甲氧基丙烯酸酯→环合→C8-甲氧基母核,1.0,REL_0008,,2
DI_Moxifloxacin_Core,API_Moxifloxacin,REL_0009,"relationship:—; conv:SIDE_CHAIN_COUPLING; desc:母核+(S,S)-二氮杂双环→莫西沙星",1.0,REL_0009,,2
SUP_InnerMongolia_Paiside,DI_Levofloxacin_Q_Acid,REL_0010,relationship:SUPPLIES; desc:Q酸 750t,1.0,REL_0010,,2
SUP_InnerMongolia_Fangzhong,DI_Levofloxacin_Q_Acid,REL_0011,relationship:SUPPLIES; desc:Q酸 500t,1.0,REL_0011,,2
SUP_Shanghai_Jingxin,DI_Levofloxacin_Q_Acid,REL_0012,relationship:SUPPLIES; desc:Q酸 400t,1.0,REL_0012,,2
SUP_Jiangxi_Shanchuang,DI_Levofloxacin_Q_Acid,REL_0013,relationship:SUPPLIES; desc:Q酸 300t,1.0,REL_0013,,2
SUP_Anhui_Beika,DI_Levofloxacin_Q_Acid,REL_0014,relationship:SUPPLIES; desc:Q酸 250t,1.0,REL_0014,,2
SUP_Zhejiang_Jingxin,API_Levofloxacin,REL_0015,relationship:SUPPLIES; desc:左氧 1800t,1.0,REL_0015,,2
SUP_Jiangxi_Dadi,API_Levofloxacin,REL_0016,relationship:SUPPLIES; desc:左氧 1600t,1.0,REL_0016,,2
SUP_Anhui_Jiesheng,API_Levofloxacin,REL_0017,relationship:SUPPLIES; desc:左氧 1000t,1.0,REL_0017,,2
SUP_InnerMongolia_Anzhou,API_Levofloxacin,REL_0018,relationship:SUPPLIES; desc:左氧 500t,1.0,REL_0018,,2
SUP_Zhejiang_HuiHai,API_Levofloxacin,REL_0019,relationship:SUPPLIES; desc:左氧 200t,1.0,REL_0019,,2
SUP_Jiangxi_Hongbang,API_Levofloxacin,REL_0020,relationship:SUPPLIES; desc:左氧 200t,1.0,REL_0020,,2
SUP_Zhejiang_Langhua,API_Levofloxacin,REL_0021,relationship:SUPPLIES; desc:左氧 100t,1.0,REL_0021,,2
SUP_Henan_Aoda,API_Levofloxacin,REL_0022,relationship:SUPPLIES; desc:左氧 100t,1.0,REL_0022,,2
SUP_Zhejiang_Guobang,DI_Cyclopropyl_Acid,REL_0023,relationship:SUPPLIES; desc:环丙羧酸 5000t(全球龙头),1.0,REL_0023,,2
SUP_Shandong_Jingxin,DI_Cyclopropyl_Acid,REL_0024,relationship:SUPPLIES; desc:环丙羧酸 4000t,1.0,REL_0024,,2
SUP_Hebei_Chaorun,DI_Cyclopropyl_Acid,REL_0025,relationship:SUPPLIES; desc:环丙羧酸 1200t,1.0,REL_0025,,2
SUP_Jiangsu_Shagang,API_Ciprofloxacin,REL_0026,relationship:SUPPLIES; desc:环丙沙星 2500t,1.0,REL_0026,,2
SUP_Zhejiang_Jingxin,API_Ciprofloxacin,REL_0027,relationship:SUPPLIES; desc:环丙沙星 1100t,1.0,REL_0027,,2
SUP_Shanxi_Boda,API_Ciprofloxacin,REL_0028,relationship:SUPPLIES; desc:环丙沙星 1020t,1.0,REL_0028,,2
SUP_Zhejiang_Langhua,API_Ciprofloxacin,REL_0029,relationship:SUPPLIES; desc:环丙沙星 800t,1.0,REL_0029,,2
SUP_Taizhou_Waishang,API_Ciprofloxacin,REL_0030,relationship:SUPPLIES; desc:环丙沙星 600t,1.0,REL_0030,,2
SUP_InnerMongolia_Anzhou,API_Ciprofloxacin,REL_0031,relationship:SUPPLIES; desc:环丙沙星 500t,1.0,REL_0031,,2
SUP_Hebei_Chaorun,API_Ciprofloxacin,REL_0032,relationship:SUPPLIES; desc:环丙沙星 150t,1.0,REL_0032,,2
SUP_Henan_Aoda,API_Ciprofloxacin,REL_0033,relationship:SUPPLIES; desc:环丙沙星 100t,1.0,REL_0033,,2
