id,title,type,description,human_readable_id,text_unit_ids,degree,frequency
KSM_DCNB,"3,4-Dichloronitrobenzene",KSM,"chinese:3,4-二氯硝基苯; cas:99-54-7; formula:C6H3Cl2NO2; mw:192.00; conversion:—; desc:氟喹诺酮通用起始原料，KF氟化→还原→环合构建母核",KSM_DCNB,,0,1
KSM_TFNB,"2,3,4-Trifluoro-nitrobenzene",KSM,"chinese:2,3,4-三氟硝基苯; cas:771-69-7; formula:C6H2F3NO2; mw:177.08; conversion:—; desc:喹诺酮替代起始原料，经还原→环合构建母核",KSM_TFNB,,0,1
KSM_NMePip,N-Methylpiperazine,KSM,chinese:N-甲基哌嗪; cas:109-01-3; formula:C5H12N2; mw:100.16; conversion:—; desc:左氧氟沙星/氧氟沙星C7位侧链引入试剂,KSM_NMePip,,0,1
KSM_Piperazine,Piperazine,KSM,chinese:无水哌嗪; cas:110-85-0; formula:C4H10N2; mw:86.14; conversion:—; desc:环丙沙星/诺氟沙星C7位侧链引入试剂,KSM_Piperazine,,0,1
KSM_Cyclopropylamine,Cyclopropylamine,KSM,chinese:环丙胺; cas:765-30-0; formula:C3H7N; mw:57.09; conversion:—; desc:环丙沙星N1位环丙基引入试剂,KSM_Cyclopropylamine,,0,1
DI_CF_Aniline,3-Chloro-4-fluoroaniline,DI,chinese:3-氯-4-氟苯胺; cas:367-21-5; formula:C6H5ClFN; mw:145.56; conversion:~75%; desc:DCNB→KF/DMSO氟化→铁粉还原，关键苯胺中间体,DI_CF_Aniline,,0,1
DI_Q_Ester,Ethyl Quinolone Carboxylate,DI,chinese:喹诺酮羧酸乙酯; cas:—; formula:C14H13ClFNO3; mw:297.71; conversion:~60%; desc:C-F苯胺+原甲酸三乙酯+丙二酸二乙酯→缩合→环合→母核,DI_Q_Ester,,0,1
DI_Nor_Q_Acid,Norfloxacin Q Acid,DI,chinese:诺氟沙星羧酸; cas:70458-92-5; formula:C13H9FNO3; mw:246.21; conversion:~60%; desc:1-乙基-6-氟-7-氯喹诺酮羧酸，诺氟沙星中间体,DI_Nor_Q_Acid,,0,1
DI_Cipro_Acid,Cyclopropyl Carboxylic Acid,DI,chinese:环丙羧酸; cas:86393-33-1; formula:C13H9F2NO3; mw:265.21; conversion:~60%; desc:环丙胺引入→环丙羧酸，环丙沙星关键中间体,DI_Cipro_Acid,,0,1
DI_Oflo_Core,Ofloxacin Core,DI,chinese:氧氟沙星母核; cas:82419-35-0; formula:C13H9FNO4; mw:262.21; conversion:~55%; desc:氧氟沙星消旋中间体，手性拆分得左旋Q酸,DI_Oflo_Core,,0,1
